created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Tue Jan 10 05:28:06 +0000 2023;1612682673201500161;"Seorang anak berinisial D di Kota Makassar, Sulawesi Selatan, ditemukan dalam keadaan meninggal usai dilaporkan hilang oleh orang tuanya. Dua remaja yang diduga pelaku penculikan dan pembunuhan pun ditangkap  #MedcomID   https://t.co/dhxvNUJzmW";0;0;0;0;in;902837643024539651;1612682673201500161;medcom_id;https://twitter.com/medcom_id/status/1612682673201500161
Tue Oct 18 03:56:49 +0000 2022;1582219120694956032;"@its_Rasidah Jujur udah bosen drama penculikan mana tayang malam banget ngantuk kalau di Sulawesi Selatan IC tayang  jam 9 MLM lewat";0;0;0;0;in;1454563097725661187;1582217050155778048;NURAFIK09706316;https://twitter.com/NURAFIK09706316/status/1582219120694956032
Sun Aug 14 14:13:19 +0000 2022;1558819057541222402;"Polisi berhasil mengamankan pria berinisial A (42) dan wanita inisial ST (47), pelaku penculikan anak di Kecamatan Tanggetada, Kabupaten Kolaka. Pelaku diamankan polisi di Kabupaten Wajo, Sulawesi Selatan (Sulsel), Sabtu (13/8/2022).  https://t.co/6JGSBMW1gS";0;0;0;1;in;987881287896649728;1558819057541222402;Kendarinformasi;https://twitter.com/Kendarinformasi/status/1558819057541222402
Sat Jul 30 03:30:00 +0000 2022;1553221343419703298;"Seorang bocah berusia 12 tahun di Takalar, Sulawesi Selatan, berhasil lolos dari upaya penculikan, setelah melompat dari motor yang digunakan penculik. Korban diculik oleh 2 orang menggunakan sepeda motor, di salah satu kompleks perumahan, Kecamatan Pattalasang, Takalar. https://t.co/D84IEtFeNq";0;0;1;5;in;71436318;1553221343419703298;KompasTV;https://twitter.com/KompasTV/status/1553221343419703298
Mon Sep 13 14:25:24 +0000 2021;1437422164383174664;"Tim Polrestabes Makassar, Sulawesi Selatan menangkap pelaku penculikan anak berinisial SU (27). Pelaku menitipkan anak di warung atau toko kemudian menukarkannya dengan beras. https://t.co/VCnsSRZBgo";1;0;0;0;in;1186946650595418116;1437422164383174664;voidotid;https://twitter.com/voidotid/status/1437422164383174664
Thu Sep 09 07:17:16 +0000 2021;1435864868662349827;"Kasus penculikan anak dengan modus membawa korban ke toko kelontong untuk ditukarkan dengan beras tengah diselidiki jajaran Kepolisian Resor Kota Besar Makassar di Sulawesi Selatan.  https://t.co/z8dqBv88YY";0;0;0;0;in;2985307064;1435864868662349827;ayobandungcom;https://twitter.com/ayobandungcom/status/1435864868662349827
Wed Sep 01 14:03:40 +0000 2021;1433068039465889793;"#IndosiarBerita #PatroliIndosiar  Seorang wanita pengusaha konveksi asal Jakarta diduga menjadi dalang kejahatan penculikan sopir taksi online di Makassar, Sulawesi Selatan.   Sebanyak 7 tersangka, termasuk 3 eksekutor penculik sopir taksi online satu persatu telah ditangkap. https://t.co/hRHFuyPWhY";0;0;0;0;in;1384449444427440134;1433068039465889793;PatroliIndosiar;https://twitter.com/PatroliIndosiar/status/1433068039465889793
Sun Aug 29 18:36:02 +0000 2021;1432049418350444544;"Polisi berhasil mengungkap kasus penculikan disertai penyekapan terhadap seorang sopir transportasi online Maxim Makassar, Sulawesi Selatan, berinisial AR, Minggu (29/8/2021). #Penculikan https://t.co/2XMMpIa9ka";0;0;0;1;in;79130206;1432049418350444544;jpnncom;https://twitter.com/jpnncom/status/1432049418350444544
Mon Jul 12 08:00:00 +0000 2021;1414494737978085380;"Nekat masuk ke kantor polisi, seorang ibu di Gowa, Sulawesi Selatan, histeris hingga pingsan. Wanita ini menangis, lantaran anaknya ditangkap polisi, karena adanya laporan dugaan penculikan gadis di bawah umur. https://t.co/vmWL42WjiH https://t.co/gQii2J77PK";0;0;0;0;in;3306771829;1414494737978085380;CNNIDdaily;https://twitter.com/CNNIDdaily/status/1414494737978085380
Wed May 19 12:55:55 +0000 2021;1395000265321828352;"Seorang bocah kelas 5 SD di Makassar menjadi korban penukaran dengan empat buah tabung gas elpiji 3 kg di sebuah toko kelontong di Jalan Pelita Raya IV, Kota Makassar, Sulawesi Selatan. KSC  #GTVNews #BuletiniNewsSiang #Makassar #Penculikan #SulawesiSelatan #GasElpiji https://t.co/xamO8pVprL";0;0;0;0;in;543264218;1395000265321828352;GTVID_News;https://twitter.com/GTVID_News/status/1395000265321828352
